iords,mass,x,y,z,vx,vy,vz,rho,temp,metals
## UNITS
NoUnit(),Msol,kpc*a,kpc*a,kpc*a,km s**-1*a,km s**-1*a,km s**-1*a,log(Msol kpc**-3),log(NoUnit()),log(NoUnit())
## MAX
1521075,287941.29,257.57,257.57,257.57,247.53,247.53,247.53,35120628.00,99878.79,0.03
## MIN
8168,63127.05,-244.42,-244.42,-244.42,-257.38,-257.38,-257.38,96.39,10000.19,0.00
##
8168,212084.13,-163.47,133.57,146.55,114.63,-78.16,-65.89,2.54,4.65,-5.40
8174,212084.13,-197.96,127.94,110.23,112.86,-79.38,-70.10,2.51,4.59,-6.00
8204,212084.13,-132.25,118.50,159.94,114.68,-83.75,-73.14,2.45,4.65,-6.96
9473,212084.13,-119.57,125.75,183.64,82.67,-77.66,-62.55,2.61,4.80,-4.92
15536,212084.13,-142.35,80.86,200.76,106.97,-69.75,-61.53,2.27,4.57,-6.15
17415,212084.13,-164.04,76.46,192.57,112.92,-69.89,-44.19,2.28,4.60,-6.80
18758,212084.13,-138.90,73.38,165.46,116.91,-42.24,-48.55,2.50,4.88,-6.28
18763,212084.13,-168.81,63.29,192.35,108.20,-72.89,-46.70,2.25,4.67,-6.66
18767,212084.13,-134.40,54.49,194.99,120.60,-74.50,-57.36,2.40,4.68,-6.21
18978,212084.13,-123.70,42.00,194.50,122.95,-60.75,-21.29,2.58,4.96,-6.06
18995,212084.13,-159.01,94.96,164.78,120.87,-70.40,-63.22,2.33,4.70,-6.33
23501,212084.13,-138.41,84.76,163.72,120.76,-74.13,-66.09,2.38,4.57,-6.64
23675,212084.13,-174.91,127.58,87.24,121.04,-82.88,-74.97,2.55,4.56,-5.93
23938,212084.13,-150.72,133.52,72.31,102.71,-99.16,-67.45,2.77,4.87,-5.81
25390,212084.13,-177.72,129.26,83.13,116.40,-83.92,-71.91,2.54,4.56,-5.51
25397,212084.13,-158.65,145.28,85.98,107.06,-91.24,-69.50,2.73,4.68,-6.62
25436,212084.13,-108.05,65.54,198.88,101.90,-78.12,-84.94,2.35,4.83,-5.26
25619,212084.13,-166.79,93.89,183.34,116.62,-67.91,-59.85,2.36,4.69,-6.16
25651,212084.13,-179.10,151.56,44.28,109.47,-81.76,-56.37,2.60,4.73,-5.72
25905,212084.14,-194.67,173.71,31.54,89.67,-107.67,-46.21,2.56,4.56,-5.27
27328,212084.13,-193.20,165.69,57.82,103.02,-92.73,-56.55,2.40,4.42,-5.74
27337,212084.13,-170.90,161.29,63.86,104.87,-99.84,-57.53,2.54,4.47,-6.29
27540,212084.13,-188.87,132.21,118.19,105.92,-76.18,-75.84,2.54,4.59,-5.98
27859,212084.13,-178.30,153.91,39.60,105.14,-97.61,-53.83,2.69,4.68,-6.09
31396,212084.13,-175.29,151.34,56.55,99.85,-67.50,-40.04,2.54,4.80,-5.44
34438,212084.13,-176.98,173.95,56.51,97.89,-103.50,-47.33,2.62,4.57,-6.50
34733,212084.13,-172.83,160.23,46.95,89.82,-115.06,-49.74,2.64,4.65,-6.08
34978,212084.13,-171.75,108.67,76.32,119.81,-75.66,-53.64,2.81,4.88,-4.78
34988,212084.13,-171.15,142.88,67.03,129.63,-65.94,-36.38,2.53,4.94,-5.44
35132,212084.13,-163.27,152.72,104.33,102.60,-86.72,-79.84,2.73,4.73,-5.76
35141,212084.13,-157.27,150.27,93.67,101.61,-100.23,-73.11,2.73,4.70,-6.32
35197,212084.13,-160.44,133.12,75.20,120.97,-81.13,-68.58,2.64,4.73,-6.27
35284,212084.13,-166.05,113.69,146.58,109.25,-75.29,-66.72,2.45,4.68,-6.17
35285,212084.13,-126.77,101.66,127.64,127.52,-82.92,-77.12,2.60,4.66,-7.45
35290,212084.13,-127.82,96.97,137.75,120.68,-80.62,-79.22,2.52,4.67,-6.98
35316,212084.13,-174.69,125.49,118.27,111.90,-80.62,-72.33,2.59,4.63,-6.14
35597,212084.13,-141.86,124.66,186.43,111.92,-76.12,-65.27,2.66,4.69,-5.93
35627,212084.13,-93.45,83.57,188.19,90.19,-85.78,-85.96,2.60,4.88,-5.25
37404,212084.13,-124.66,35.63,201.31,121.01,-62.41,-56.74,2.40,4.79,-5.71
37888,212084.13,-163.01,146.23,52.34,131.72,-93.77,-44.07,2.72,4.95,-5.35
38122,212084.13,-189.97,157.61,63.84,108.53,-86.46,-55.10,2.30,4.42,-5.77
38133,212084.13,-161.26,146.95,79.12,116.05,-94.87,-68.52,2.61,4.58,-6.02
38143,212084.13,-191.64,117.65,115.13,112.31,-73.21,-75.19,2.57,4.64,-5.58
38153,212084.13,-164.26,159.60,71.35,100.91,-106.16,-62.38,2.54,4.59,-6.67
38174,212084.14,-157.67,108.37,77.00,118.20,-79.81,-63.87,2.82,4.85,-5.91
38266,212084.13,-148.80,133.30,85.52,107.69,-101.70,-75.49,2.75,4.72,-6.77
38295,212084.13,-157.48,155.52,63.18,93.77,-107.70,-50.63,2.72,4.74,-6.72
38308,212084.13,-188.20,147.78,93.10,112.20,-85.10,-71.86,2.52,4.56,-6.00
38451,212084.13,-170.79,123.33,149.22,110.69,-72.97,-61.00,2.48,4.71,-5.26
38460,212084.13,-176.50,130.21,145.06,108.07,-78.02,-67.45,2.56,4.72,-5.43
38700,212084.13,-128.91,131.70,183.58,106.41,-77.30,-55.28,2.62,4.71,-6.05
41159,212084.13,-114.71,83.03,168.72,113.91,-62.13,-61.84,2.50,4.84,-6.21
41434,212084.13,-108.12,83.59,175.46,117.20,-76.21,-60.29,2.44,4.85,-6.00
41545,212084.13,-202.11,142.48,92.80,112.08,-76.48,-67.93,2.45,4.51,-6.08
41580,212084.13,-202.33,126.14,91.15,108.14,-83.94,-69.49,2.33,4.61,-5.06
41587,212084.13,-180.58,118.61,125.78,111.98,-66.21,-71.27,2.57,4.73,-5.63
41642,212084.13,-183.64,116.39,74.86,127.95,-65.89,-43.15,2.51,4.93,-4.60
41750,212084.13,-178.49,125.44,95.91,109.60,-84.14,-81.97,2.52,4.63,-6.50
41792,212084.13,-174.10,136.87,124.49,110.71,-86.22,-68.52,2.55,4.72,-6.57
