iords,mass,x,y,z,vx,vy,vz,rho,temp,metals
8186,212084.13,-198.42,122.82,155.89,105.76,-40.86,-51.82,2.50,4.72,-6.54
8187,212084.13,-206.82,145.69,170.23,113.40,-39.48,-43.12,2.61,4.76,-5.71
8197,212084.13,-181.42,130.39,135.11,112.70,-45.52,-60.77,2.62,4.73,-6.61
8206,212084.13,-161.29,133.85,169.94,116.60,-39.75,-48.37,2.56,4.62,-7.34
9473,212084.13,-159.72,140.89,194.46,111.24,-38.01,-45.22,2.56,4.70,-5.82
12937,212084.13,-200.87,83.44,173.51,116.85,-55.73,-30.44,2.33,4.73,-5.87
15293,212084.13,-180.25,69.75,210.83,107.36,-54.98,-37.78,2.30,4.59,-5.99
15329,212084.13,-167.85,52.71,229.39,115.74,-46.29,-38.44,2.21,4.67,-5.61
15536,212084.13,-183.09,96.54,206.23,105.85,-40.09,-33.34,2.41,4.64,-6.25
15541,212084.13,-155.70,86.42,200.33,118.44,-42.79,-41.53,2.26,4.55,-6.40
17046,212084.13,-199.87,66.51,193.52,103.49,-60.22,-30.18,2.33,4.74,-6.13
17440,212084.13,-165.19,49.89,209.03,120.30,-52.16,-46.53,2.26,4.62,-6.01
17450,212084.13,-197.65,102.25,191.79,105.76,-38.15,-37.36,2.42,4.65,-6.78
18767,212084.13,-179.76,75.91,203.37,111.59,-49.39,-40.07,2.37,4.58,-6.54
18978,212084.13,-170.91,63.28,198.04,116.55,-49.08,-37.42,2.34,4.58,-6.82
18995,212084.13,-201.90,108.25,173.66,110.90,-34.00,-39.50,2.43,4.76,-6.38
19207,212084.13,-214.67,100.86,171.24,103.44,-43.68,-22.08,2.36,4.81,-5.64
23666,212084.13,-184.28,111.17,159.20,113.28,-44.76,-54.05,2.49,4.70,-6.35
23675,212084.13,-217.24,142.86,108.11,109.01,-43.01,-63.25,2.54,4.56,-6.00
23676,212084.13,-216.89,142.16,131.18,101.98,-48.38,-59.19,2.67,4.65,-6.38
23947,212084.13,-166.78,104.87,190.88,120.11,-40.17,-43.78,2.36,4.79,-5.53
25383,212084.13,-197.51,149.17,88.35,116.30,-56.67,-51.81,2.38,4.43,-5.99
25390,212084.13,-218.89,145.38,102.26,110.56,-47.37,-54.96,2.54,4.55,-5.53
25397,212084.13,-198.15,163.64,102.74,107.66,-50.98,-47.58,2.47,4.48,-6.65
25400,212084.13,-191.81,101.56,196.25,106.66,-44.70,-40.96,2.41,4.68,-6.13
25627,212084.13,-229.99,173.87,91.35,99.19,-46.19,-45.74,2.38,4.45,-5.84
25890,212084.13,-208.33,171.00,50.06,102.58,-69.18,-48.84,2.49,4.46,-6.33
27540,212084.13,-226.27,145.96,135.33,104.10,-43.23,-53.33,2.64,4.66,-5.99
29282,212084.13,-230.00,158.36,103.47,105.27,-57.37,-51.57,2.43,4.49,-5.68
29520,212084.13,-179.27,89.72,195.34,111.82,-45.06,-41.99,2.38,4.63,-6.10
29544,212084.13,-225.85,180.60,112.97,106.41,-51.05,-42.86,2.49,4.44,-6.06
29581,212084.13,-226.79,188.03,52.22,94.07,-60.63,-46.81,2.40,4.40,-5.85
30229,212084.13,-224.56,156.96,121.21,103.86,-46.51,-53.79,2.70,4.64,-6.01
31007,212084.13,-198.25,69.50,203.35,105.29,-50.20,-36.57,2.33,4.67,-6.01
31374,212084.13,-174.11,49.73,231.21,108.39,-44.67,-39.87,2.25,4.65,-5.68
31621,212084.13,-226.08,192.20,77.11,102.40,-51.31,-47.35,2.44,4.37,-6.24
31623,212084.13,-206.59,175.26,60.29,96.88,-59.43,-51.27,2.44,4.39,-6.92
32392,212084.13,-202.93,186.50,79.52,103.02,-58.16,-48.22,2.50,4.47,-6.56
32397,212084.13,-198.10,156.85,117.97,104.79,-54.44,-54.83,2.72,4.65,-5.71
32549,212084.13,-218.17,176.92,86.80,105.52,-53.41,-47.90,2.35,4.36,-5.84
32554,212084.14,-184.23,135.15,120.10,105.56,-52.30,-58.35,2.60,4.72,-6.65
32748,212084.13,-198.48,131.91,173.59,106.97,-40.10,-46.46,2.55,4.70,-6.65
32755,212084.13,-167.04,141.04,197.42,104.79,-36.68,-41.25,2.52,4.79,-6.17
32786,212084.13,-138.61,116.68,216.03,113.40,-42.14,-40.02,2.27,4.74,-5.23
34016,212084.13,-195.12,75.31,190.15,107.49,-52.02,-32.54,2.33,4.79,-6.52
34970,212084.13,-231.58,192.93,67.76,102.30,-56.91,-52.97,2.43,4.36,-6.46
34988,212084.13,-213.51,159.88,82.89,110.60,-51.91,-48.20,2.33,4.39,-6.03
35122,212084.13,-217.83,179.73,110.64,107.89,-54.44,-43.20,2.49,4.53,-5.88
35190,212084.13,-212.88,167.77,82.32,107.32,-52.72,-53.86,2.34,4.38,-5.55
37234,212084.13,-206.32,61.69,204.86,101.09,-48.24,-37.94,2.30,4.79,-5.98
37410,212084.13,-177.38,50.75,219.21,112.35,-39.18,-37.22,2.23,4.65,-5.40
37670,212084.13,-228.47,138.53,124.57,102.29,-48.83,-57.46,2.58,4.56,-6.33
37890,212084.13,-169.48,103.55,168.97,117.65,-42.05,-52.68,2.39,4.63,-6.48
37896,212084.13,-233.88,140.34,136.47,99.91,-43.82,-54.43,2.60,4.56,-5.88
37923,212084.13,-223.65,159.32,80.29,109.56,-53.95,-49.65,2.19,4.41,-5.47
38174,212084.13,-199.84,127.76,101.89,108.93,-49.92,-67.46,2.53,4.52,-6.02
38273,212084.13,-212.12,135.94,108.74,109.24,-46.15,-64.20,2.53,4.63,-6.14
38294,212084.13,-194.50,142.53,109.83,108.16,-49.89,-66.03,2.62,4.74,-6.39
38308,212084.13,-228.04,163.88,109.16,108.65,-52.11,-48.01,2.51,4.56,-6.08
38700,212084.13,-172.53,144.08,190.25,108.41,-34.37,-37.06,2.66,4.71,-6.71
38776,212084.13,-166.26,132.17,203.07,98.66,-45.51,-39.98,2.52,4.70,-5.62
39080,212084.13,-156.60,131.69,195.74,121.84,-42.96,-55.88,2.53,4.73,-5.38
41389,212084.13,-239.76,143.81,131.18,102.21,-44.57,-52.64,2.61,4.66,-6.13
41411,212084.13,-189.56,104.86,180.96,106.71,-41.11,-46.82,2.40,4.67,-6.50
41582,212084.13,-213.25,129.43,155.44,104.94,-33.97,-50.48,2.56,4.68,-6.27
41704,212084.13,-207.99,143.37,148.38,103.31,-42.09,-49.68,2.68,4.75,-6.91
41731,212084.13,-216.22,155.55,114.41,104.04,-48.94,-56.34,2.56,4.61,-6.16
41751,212084.13,-224.40,169.84,96.84,109.22,-52.77,-45.82,2.40,4.57,-5.67
41792,212084.13,-214.70,151.11,139.30,108.32,-38.11,-51.92,2.69,4.82,-6.60
41931,212084.13,-191.50,141.74,180.08,107.45,-39.00,-39.90,2.62,4.69,-6.96
42171,212084.13,-166.06,149.63,186.48,109.07,-44.77,-45.11,2.61,4.77,-5.32
42187,212084.13,-166.29,148.48,165.62,117.10,-46.15,-51.46,2.61,4.67,-6.03
44915,212084.13,-194.71,93.96,189.10,112.29,-44.23,-30.69,2.43,4.64,-7.07
45295,212084.13,-177.92,138.42,121.98,114.55,-52.17,-55.90,2.63,4.80,-6.56
45311,212084.13,-223.35,153.37,96.77,107.82,-49.52,-44.45,2.40,4.53,-5.77
45346,212084.13,-172.92,119.67,133.56,113.37,-49.28,-58.45,2.55,4.76,-7.29
45396,212084.13,-215.69,147.59,158.55,95.62,-43.35,-41.72,2.68,4.76,-5.38
45397,212084.13,-209.85,143.12,159.63,99.32,-39.52,-50.22,2.64,4.73,-5.42
45398,212084.13,-204.45,131.14,149.98,105.27,-41.98,-58.19,2.56,4.72,-6.08
45486,212084.13,-211.49,136.45,143.97,106.73,-43.78,-53.92,2.65,4.73,-6.16
45537,212084.13,-169.43,129.00,159.72,115.79,-46.77,-56.03,2.60,4.63,-7.71
45570,212084.13,-187.46,125.71,130.96,106.08,-53.95,-61.23,2.58,4.67,-6.82
45660,212084.13,-159.63,149.20,175.72,112.08,-39.68,-44.87,2.51,4.73,-5.09
45731,212084.13,-183.63,151.32,151.43,109.12,-49.18,-51.67,2.72,4.75,-6.09
45752,212084.13,-190.94,152.98,170.73,107.98,-41.26,-45.71,2.69,4.69,-7.05
45948,212084.13,-188.57,157.32,148.73,111.80,-35.76,-52.90,2.70,4.73,-5.82
46004,212084.13,-194.55,164.36,144.54,113.16,-35.15,-60.33,2.76,4.80,-5.84
47338,212084.13,-218.01,79.06,187.00,95.98,-53.01,-30.73,2.33,4.88,-5.82
47589,212084.13,-171.07,35.94,206.31,100.81,-41.09,-41.81,2.28,4.75,-4.87
47600,212084.13,-188.31,92.38,210.86,112.88,-36.80,-32.47,2.41,4.64,-6.19
47797,212084.13,-200.93,77.05,204.41,103.40,-51.68,-37.39,2.41,4.69,-6.42
49178,212084.13,-176.91,157.87,177.51,105.34,-35.29,-43.87,2.71,4.80,-5.60
49179,212084.13,-175.18,144.55,158.40,107.69,-50.51,-49.15,2.64,4.68,-6.83
49186,212084.13,-204.54,168.45,148.30,106.79,-27.59,-48.23,2.79,4.85,-5.84
49187,212084.13,-181.49,154.83,149.11,106.94,-39.94,-48.61,2.74,4.73,-6.03
49224,212084.13,-173.85,143.05,167.58,113.06,-44.19,-50.32,2.67,4.64,-7.35
49225,212084.13,-179.57,149.49,183.11,105.00,-36.21,-37.60,2.66,4.68,-6.95
49226,212084.13,-175.25,150.24,177.73,111.51,-41.62,-38.82,2.67,4.68,-6.61
49229,212084.13,-214.35,163.16,129.62,97.45,-41.86,-54.59,2.78,4.80,-5.52
50783,212084.13,-188.10,91.69,195.63,115.25,-40.92,-38.42,2.40,4.73,-6.14
50985,212084.13,-187.69,70.36,209.11,109.45,-47.07,-38.73,2.34,4.68,-6.72
51244,212084.13,-192.48,74.58,217.70,105.35,-45.34,-36.69,2.30,4.59,-6.39
51489,212084.13,-162.47,86.78,189.78,118.46,-44.78,-47.03,2.35,4.56,-7.21
51520,212084.13,-205.73,118.44,174.11,104.97,-37.41,-38.52,2.47,4.79,-6.52
54675,212084.13,-182.30,109.83,180.60,116.07,-44.56,-45.59,2.36,4.65,-6.49
54801,154328.90,-2.30,4.25,-0.30,-218.78,-66.63,-25.67,7.96,4.01,-1.46
54952,212084.13,-197.20,117.36,136.41,115.55,-43.79,-57.05,2.47,4.80,-4.99
56692,212084.14,-218.45,100.37,150.83,121.08,-36.55,-21.42,2.44,4.99,-5.19
57804,212084.13,8.84,85.67,266.70,21.66,2.85,-56.21,2.20,4.95,-3.38
57962,212084.13,-218.43,118.67,158.06,105.86,-27.95,-40.30,2.47,4.77,-5.49
57985,212084.13,-229.11,125.06,144.40,96.75,-37.49,-50.70,2.59,4.76,-4.96
58007,212084.13,-230.18,138.77,144.03,104.10,-38.59,-56.90,2.60,4.83,-4.51
58248,212084.13,-200.54,123.71,110.82,113.81,-41.52,-68.34,2.56,4.63,-5.26
58254,212084.13,-209.94,112.57,140.46,119.54,-41.68,-49.69,2.53,4.92,-4.68
58298,212084.13,-235.50,124.60,130.85,100.81,-42.11,-47.37,2.55,4.72,-4.51
59629,212084.13,-191.76,93.80,164.10,120.90,-42.99,-38.93,2.45,4.78,-6.42
59636,212084.13,-170.48,83.13,191.89,113.63,-45.35,-45.36,2.38,4.58,-7.03
60072,212084.13,-211.21,115.65,171.96,109.30,-35.58,-38.04,2.42,4.76,-5.79
60664,212084.13,-217.47,121.86,141.98,107.07,-32.19,-42.75,2.52,4.85,-4.33
61492,212084.13,-186.85,82.85,191.23,110.09,-50.83,-34.52,2.37,4.73,-6.68
